Source,Target,Types,Weight
Stradonice Oppidum,Egglfing,BS C,25
Stradonice Oppidum,Teisendorf,BS C,25
Stradonice Oppidum,Manching,BS C,25
Stradonice Oppidum,Dorfen Niederham,BS C,1
Stradonice Oppidum,Karlstein,BS C,3
Stradonice Oppidum,Linz Freinberg,BS C,1
Stradonice Oppidum,Kremsmünster,BS C,1
Stradonice Oppidum,Bruck an der Großglocknerstraße,BS C,2
Stradonice Oppidum,Liefering,BS C,1
Stradonice Oppidum,Georgenberg,BS C,1
Stradonice Oppidum,Salzburg Stadt,BS C,1
Stradonice Oppidum,Salzburg,BS C,15
Stradonice Oppidum,Kleßheim,BS C,1
Stradonice Oppidum,Třísov,BS C,2
Stradonice Oppidum,Mainburg,BS C,3
Stradonice Oppidum,Aholming,BS C,2
Stradonice Oppidum,Oberpöring,BS C,3
Stradonice Oppidum,Gilsenöd,BS C,1
Stradonice Oppidum,Thundorf,BS C,4
Stradonice Oppidum,Neuses an der Regnitz,BS C,25
Stradonice Oppidum,Merklingen,BS C,22
Egglfing,Teisendorf,BS C,39
Egglfing,Manching,BS C,39
Egglfing,Dorfen Niederham,BS C,1
Egglfing,Karlstein,BS C,3
Egglfing,Linz Freinberg,BS C,1
Egglfing,Kremsmünster,BS C,1
Egglfing,Bruck an der Großglocknerstraße,BS C,2
Egglfing,Liefering,BS C,1
Egglfing,Georgenberg,BS C,1
Egglfing,Salzburg Stadt,BS C,1
Egglfing,Salzburg,BS C,15
Egglfing,Kleßheim,BS C,1
Egglfing,Třísov,BS C,2
Egglfing,Mainburg,BS C,3
Egglfing,Aholming,BS C,2
Egglfing,Oberpöring,BS C,3
Egglfing,Gilsenöd,BS C,1
Egglfing,Thundorf,BS C,4
Egglfing,Neuses an der Regnitz,BS C,39
Egglfing,Merklingen,BS C,22
Teisendorf,Manching,BS C,135
Teisendorf,Dorfen Niederham,BS C,1
Teisendorf,Karlstein,BS C,3
Teisendorf,Linz Freinberg,BS C,1
Teisendorf,Kremsmünster,BS C,1
Teisendorf,Bruck an der Großglocknerstraße,BS C,2
Teisendorf,Liefering,BS C,1
Teisendorf,Georgenberg,BS C,1
Teisendorf,Salzburg Stadt,BS C,1
Teisendorf,Salzburg,BS C,15
Teisendorf,Kleßheim,BS C,1
Teisendorf,Třísov,BS C,2
Teisendorf,Mainburg,BS C,3
Teisendorf,Aholming,BS C,2
Teisendorf,Oberpöring,BS C,3
Teisendorf,Gilsenöd,BS C,1
Teisendorf,Thundorf,BS C,4
Teisendorf,Neuses an der Regnitz,BS C,52
Teisendorf,Merklingen,BS C,22
Manching,Dorfen Niederham,BS C,1
Manching,Karlstein,BS C,3
Manching,Linz Freinberg,BS C,1
Manching,Kremsmünster,BS C,1
Manching,Bruck an der Großglocknerstraße,BS C,2
Manching,Liefering,BS C,1
Manching,Georgenberg,BS C,1
Manching,Salzburg Stadt,BS C,1
Manching,Salzburg,BS C,15
Manching,Kleßheim,BS C,1
Manching,Třísov,BS C,2
Manching,Mainburg,BS C,3
Manching,Aholming,BS C,2
Manching,Oberpöring,BS C,3
Manching,Gilsenöd,BS C,1
Manching,Thundorf,BS C,4
Manching,Neuses an der Regnitz,BS C,52
Manching,Merklingen,BS C,22
Dorfen Niederham,Karlstein,BS C,1
Dorfen Niederham,Linz Freinberg,BS C,1
Dorfen Niederham,Kremsmünster,BS C,1
Dorfen Niederham,Bruck an der Großglocknerstraße,BS C,1
Dorfen Niederham,Liefering,BS C,1
Dorfen Niederham,Georgenberg,BS C,1
Dorfen Niederham,Salzburg Stadt,BS C,1
Dorfen Niederham,Salzburg,BS C,1
Dorfen Niederham,Kleßheim,BS C,1
Dorfen Niederham,Třísov,BS C,1
Dorfen Niederham,Mainburg,BS C,1
Dorfen Niederham,Aholming,BS C,1
Dorfen Niederham,Oberpöring,BS C,1
Dorfen Niederham,Gilsenöd,BS C,1
Dorfen Niederham,Thundorf,BS C,1
Dorfen Niederham,Neuses an der Regnitz,BS C,1
Dorfen Niederham,Merklingen,BS C,1
Karlstein,Linz Freinberg,BS C,1
Karlstein,Kremsmünster,BS C,1
Karlstein,Bruck an der Großglocknerstraße,BS C,2
Karlstein,Liefering,BS C,1
Karlstein,Georgenberg,BS C,1
Karlstein,Salzburg Stadt,BS C,1
Karlstein,Salzburg,BS C,3
Karlstein,Kleßheim,BS C,1
Karlstein,Třísov,BS C,2
Karlstein,Mainburg,BS C,3
Karlstein,Aholming,BS C,2
Karlstein,Oberpöring,BS C,3
Karlstein,Gilsenöd,BS C,1
Karlstein,Thundorf,BS C,3
Karlstein,Neuses an der Regnitz,BS C,3
Karlstein,Merklingen,BS C,3
Linz Freinberg,Kremsmünster,BS C,1
Linz Freinberg,Bruck an der Großglocknerstraße,BS C,1
Linz Freinberg,Liefering,BS C,1
Linz Freinberg,Georgenberg,BS C,1
Linz Freinberg,Salzburg Stadt,BS C,1
Linz Freinberg,Salzburg,BS C,1
Linz Freinberg,Kleßheim,BS C,1
Linz Freinberg,Třísov,BS C,1
Linz Freinberg,Mainburg,BS C,1
Linz Freinberg,Aholming,BS C,1
Linz Freinberg,Oberpöring,BS C,1
Linz Freinberg,Gilsenöd,BS C,1
Linz Freinberg,Thundorf,BS C,1
Linz Freinberg,Neuses an der Regnitz,BS C,1
Linz Freinberg,Merklingen,BS C,1
Kremsmünster,Bruck an der Großglocknerstraße,BS C,1
Kremsmünster,Liefering,BS C,1
Kremsmünster,Georgenberg,BS C,1
Kremsmünster,Salzburg Stadt,BS C,1
Kremsmünster,Salzburg,BS C,1
Kremsmünster,Kleßheim,BS C,1
Kremsmünster,Třísov,BS C,1
Kremsmünster,Mainburg,BS C,1
Kremsmünster,Aholming,BS C,1
Kremsmünster,Oberpöring,BS C,1
Kremsmünster,Gilsenöd,BS C,1
Kremsmünster,Thundorf,BS C,1
Kremsmünster,Neuses an der Regnitz,BS C,1
Kremsmünster,Merklingen,BS C,1
Bruck an der Großglocknerstraße,Liefering,BS C,1
Bruck an der Großglocknerstraße,Georgenberg,BS C,1
Bruck an der Großglocknerstraße,Salzburg Stadt,BS C,1
Bruck an der Großglocknerstraße,Salzburg,BS C,2
Bruck an der Großglocknerstraße,Kleßheim,BS C,1
Bruck an der Großglocknerstraße,Třísov,BS C,2
Bruck an der Großglocknerstraße,Mainburg,BS C,2
Bruck an der Großglocknerstraße,Aholming,BS C,2
Bruck an der Großglocknerstraße,Oberpöring,BS C,2
Bruck an der Großglocknerstraße,Gilsenöd,BS C,1
Bruck an der Großglocknerstraße,Thundorf,BS C,2
Bruck an der Großglocknerstraße,Neuses an der Regnitz,BS C,2
Bruck an der Großglocknerstraße,Merklingen,BS C,2
Liefering,Georgenberg,BS C,1
Liefering,Salzburg Stadt,BS C,1
Liefering,Salzburg,BS C,1
Liefering,Kleßheim,BS C,1
Liefering,Třísov,BS C,1
Liefering,Mainburg,BS C,1
Liefering,Aholming,BS C,1
Liefering,Oberpöring,BS C,1
Liefering,Gilsenöd,BS C,1
Liefering,Thundorf,BS C,1
Liefering,Neuses an der Regnitz,BS C,1
Liefering,Merklingen,BS C,1
Georgenberg,Salzburg Stadt,BS C,1
Georgenberg,Salzburg,BS C,1
Georgenberg,Kleßheim,BS C,1
Georgenberg,Třísov,BS C,1
Georgenberg,Mainburg,BS C,1
Georgenberg,Aholming,BS C,1
Georgenberg,Oberpöring,BS C,1
Georgenberg,Gilsenöd,BS C,1
Georgenberg,Thundorf,BS C,1
Georgenberg,Neuses an der Regnitz,BS C,1
Georgenberg,Merklingen,BS C,1
Salzburg Stadt,Salzburg,BS C,1
Salzburg Stadt,Kleßheim,BS C,1
Salzburg Stadt,Třísov,BS C,1
Salzburg Stadt,Mainburg,BS C,1
Salzburg Stadt,Aholming,BS C,1
Salzburg Stadt,Oberpöring,BS C,1
Salzburg Stadt,Gilsenöd,BS C,1
Salzburg Stadt,Thundorf,BS C,1
Salzburg Stadt,Neuses an der Regnitz,BS C,1
Salzburg Stadt,Merklingen,BS C,1
Salzburg,Kleßheim,BS C,1
Salzburg,Třísov,BS C,2
Salzburg,Mainburg,BS C,3
Salzburg,Aholming,BS C,2
Salzburg,Oberpöring,BS C,3
Salzburg,Gilsenöd,BS C,1
Salzburg,Thundorf,BS C,4
Salzburg,Neuses an der Regnitz,BS C,15
Salzburg,Merklingen,BS C,15
Kleßheim,Třísov,BS C,1
Kleßheim,Mainburg,BS C,1
Kleßheim,Aholming,BS C,1
Kleßheim,Oberpöring,BS C,1
Kleßheim,Gilsenöd,BS C,1
Kleßheim,Thundorf,BS C,1
Kleßheim,Neuses an der Regnitz,BS C,1
Kleßheim,Merklingen,BS C,1
Třísov,Mainburg,BS C,2
Třísov,Aholming,BS C,2
Třísov,Oberpöring,BS C,2
Třísov,Gilsenöd,BS C,1
Třísov,Thundorf,BS C,2
Třísov,Neuses an der Regnitz,BS C,2
Třísov,Merklingen,BS C,2
Mainburg,Aholming,BS C,2
Mainburg,Oberpöring,BS C,3
Mainburg,Gilsenöd,BS C,1
Mainburg,Thundorf,BS C,3
Mainburg,Neuses an der Regnitz,BS C,3
Mainburg,Merklingen,BS C,3
Aholming,Oberpöring,BS C,2
Aholming,Gilsenöd,BS C,1
Aholming,Thundorf,BS C,2
Aholming,Neuses an der Regnitz,BS C,2
Aholming,Merklingen,BS C,2
Oberpöring,Gilsenöd,BS C,1
Oberpöring,Thundorf,BS C,3
Oberpöring,Neuses an der Regnitz,BS C,3
Oberpöring,Merklingen,BS C,3
Gilsenöd,Thundorf,BS C,1
Gilsenöd,Neuses an der Regnitz,BS C,1
Gilsenöd,Merklingen,BS C,1
Thundorf,Neuses an der Regnitz,BS C,4
Thundorf,Merklingen,BS C,4
Neuses an der Regnitz,Merklingen,BS C,22
Teisendorf,Manching,BS D,1
Teisendorf,Karlstein,BS D,1
Teisendorf,Pfaffenhofen-Trappeleacker,BS D,1
Teisendorf,Salzburg Stadt,BS D,1
Teisendorf,Oberpöring,BS D,1
Teisendorf,Merklingen,BS D,4
Manching,Karlstein,BS D,1
Manching,Pfaffenhofen-Trappeleacker,BS D,1
Manching,Salzburg Stadt,BS D,1
Manching,Oberpöring,BS D,1
Manching,Merklingen,BS D,1
Karlstein,Pfaffenhofen-Trappeleacker,BS D,1
Karlstein,Salzburg Stadt,BS D,1
Karlstein,Oberpöring,BS D,1
Karlstein,Merklingen,BS D,1
Pfaffenhofen-Trappeleacker,Salzburg Stadt,BS D,1
Pfaffenhofen-Trappeleacker,Oberpöring,BS D,1
Pfaffenhofen-Trappeleacker,Merklingen,BS D,1
Salzburg Stadt,Oberpöring,BS D,1
Salzburg Stadt,Merklingen,BS D,1
Oberpöring,Merklingen,BS D,1
Stradonice Oppidum,Egglfing,BS E,5
Stradonice Oppidum,Teisendorf,BS E,12
Stradonice Oppidum,Sättelstädt,BS E,2
Stradonice Oppidum,Titelberg,BS E,1
Stradonice Oppidum,Manching,BS E,12
Stradonice Oppidum,Dorfen Niederham,BS E,1
Stradonice Oppidum,Langenpreising Zustorf,BS E,1
Stradonice Oppidum,Telfs Schlossbichl,BS E,1
Stradonice Oppidum,Salzburg Stadt,BS E,1
Stradonice Oppidum,Salzburg,BS E,2
Stradonice Oppidum,Karlstein,BS E,1
Stradonice Oppidum,Cífer-Pác,BS E,2
Stradonice Oppidum,Třísov,BS E,1
Stradonice Oppidum,Mainburg,BS E,1
Stradonice Oppidum,Oberpöring,BS E,12
Stradonice Oppidum,Aholming,BS E,1
Stradonice Oppidum,Alttiefenweg,BS E,1
Stradonice Oppidum,Haunersdorf,BS E,3
Stradonice Oppidum,Moos,BS E,1
Stradonice Oppidum,Pankofen,BS E,2
Stradonice Oppidum,Langenisarhofen,BS E,1
Stradonice Oppidum,Gilsenöd,BS E,2
Egglfing,Teisendorf,BS E,5
Egglfing,Sättelstädt,BS E,2
Egglfing,Titelberg,BS E,1
Egglfing,Manching,BS E,5
Egglfing,Dorfen Niederham,BS E,1
Egglfing,Langenpreising Zustorf,BS E,1
Egglfing,Telfs Schlossbichl,BS E,1
Egglfing,Salzburg Stadt,BS E,1
Egglfing,Salzburg,BS E,2
Egglfing,Karlstein,BS E,1
Egglfing,Cífer-Pác,BS E,2
Egglfing,Třísov,BS E,1
Egglfing,Mainburg,BS E,1
Egglfing,Oberpöring,BS E,5
Egglfing,Aholming,BS E,1
Egglfing,Alttiefenweg,BS E,1
Egglfing,Haunersdorf,BS E,3
Egglfing,Moos,BS E,1
Egglfing,Pankofen,BS E,2
Egglfing,Langenisarhofen,BS E,1
Egglfing,Gilsenöd,BS E,2
Teisendorf,Sättelstädt,BS E,2
Teisendorf,Titelberg,BS E,1
Teisendorf,Manching,BS E,13
Teisendorf,Dorfen Niederham,BS E,1
Teisendorf,Langenpreising Zustorf,BS E,1
Teisendorf,Telfs Schlossbichl,BS E,1
Teisendorf,Salzburg Stadt,BS E,1
Teisendorf,Salzburg,BS E,2
Teisendorf,Karlstein,BS E,1
Teisendorf,Cífer-Pác,BS E,2
Teisendorf,Třísov,BS E,1
Teisendorf,Mainburg,BS E,1
Teisendorf,Oberpöring,BS E,13
Teisendorf,Aholming,BS E,1
Teisendorf,Alttiefenweg,BS E,1
Teisendorf,Haunersdorf,BS E,3
Teisendorf,Moos,BS E,1
Teisendorf,Pankofen,BS E,2
Teisendorf,Langenisarhofen,BS E,1
Teisendorf,Gilsenöd,BS E,2
Sättelstädt,Titelberg,BS E,1
Sättelstädt,Manching,BS E,2
Sättelstädt,Dorfen Niederham,BS E,1
Sättelstädt,Langenpreising Zustorf,BS E,1
