Id,Label,latitude,longitude,Group
Sättelstädt,Sättelstädt,50.943022,10.481468,Ost
Pfaffenhofen-Trappeleacker,Pfaffenhofen-Trappeleacker,47.277648,11.075017,Ost
Haunersdorf,Haunersdorf,48.607053,12.718682,Ost
Langenisarhofen,Langenisarhofen,48.737628,12.962948,Ost
Egglfing,Egglfing,48.32667,13.314929,Ost
Třísov,Třísov,48.88266,14.346529,Ost
Teisendorf,Teisendorf,47.849038,12.821836,Ost
Neuses an der Regnitz,Neuses an der Regnitz,49.772542,11.030035,Ost
Kremsmünster,Kremsmünster,48.053365,14.128766,Ost
Mainburg,Mainburg,48.64105,11.78643,Ost
Gilsenöd,Gilsenöd,48.751821,12.991048,Ost
Dorfen Niederham,Dorfen Niederham,48.274277,12.136902,Ost
Salzburg,Salzburg,47.798135,13.046481,Ost
Manching,Manching,48.717136,11.494068,Ost
Pankofen,Pankofen,48.79205,12.896233,Ost
Cífer-Pác,Cífer-Pác,48.304114,17.519763,Ost
Linz Freinberg,Linz Freinberg,48.303526,14.264106,Ost
Liefering,Liefering,47.826057,13.009254,Ost
Salzburg Stadt,Salzburg Stadt,47.828709,13.025384,Ost
Aholming,Aholming,48.735073,12.911918,Ost
Langenpreising Zustorf,Langenpreising Zustorf,48.415444,11.938913,Ost
Bruck an der Großglocknerstraße,Bruck an der Großglocknerstraße,47.286695,12.824131,Ost
Georgenberg,Georgenberg,49.703079,12.420661,Ost
Telfs Schlossbichl,Telfs Schlossbichl,47.307065,11.068169,Ost
Oberpöring,Oberpöring,48.702369,12.824768,Ost
Stradonice Oppidum,Stradonice Oppidum,49.992573,14.006197,Ost
Kleßheim,Kleßheim,47.823249,12.991535,Ost
Alttiefenweg,Alttiefenweg,48.725797,12.864973,Ost
Titelberg,Titelberg,49.53871,5.859465,Ost
Karlstein,Karlstein,47.722312,12.850755,Ost
Moos,Moos,48.752054,12.962472,Ost
Thundorf,Thundorf,48.758047,13.016182,Ost
Balsthal,Balsthal,47.314037,7.694776,West
Eppenberg-Wöschnau,Eppenberg-Wöschnau,47.383092,8.02446,West
Bad Zurzach,Bad Zurzach,47.589838,8.285842,West
Bern,Bern,46.948474,7.452175,West
Diessenhofen,Diessenhofen,47.687532,8.749267,West
Avenches,Avenches,46.879575,7.040941,West
Kirchberg,Kirchberg,47.085173,7.581513,West
Altenburg-Rheinau,Altenburg-Rheinau,47.663644,8.596879,West
Mont Beuvray,Mont Beuvray,46.924459,4.039623,West
Brugg,Brugg,47.482463,8.208566,West
Roggwil,Roggwil,47.241147,7.823077,West
Basel,Basel,47.558108,7.587826,West
Geneva,Geneva,46.201756,6.146601,West
Windisch,Windisch,47.479347,8.217992,West
Merklingen,Merklingen,48.510106,9.755774,Ost
Baar,Baar,47.195198,8.525398,West
Niederbipp,Niederbipp,47.268494,7.693334,West
Rheinau,Rheinau,47.643925,8.601757,West
