Id,Label,latitude,longitude,Group
Balsthal,Balsthal,47.314037,7.694776,West
Eppenberg-Wöschnau,Eppenberg-Wöschnau,47.383092,8.02446,West
Bad Zurzach,Bad Zurzach,47.589838,8.285842,West
Baden,Baden,47.473683,8.308682,West
Vallon,Vallon,46.882477,6.951657,West
Bern,Bern,46.948474,7.452175,West
Diessenhofen,Diessenhofen,47.687532,8.749267,West
Avenches,Avenches,46.879575,7.040941,West
Kirchberg,Kirchberg,47.085173,7.581513,West
Altenburg-Rheinau,Altenburg-Rheinau,47.663644,8.596879,West
Biel,Biel,47.140208,7.243903,West
Mont Beuvray,Mont Beuvray,46.924459,4.039623,West
Kyburg,Kyburg,47.457086,8.744344,West
Brugg,Brugg,47.482463,8.208566,West
Roggwil,Roggwil,47.241147,7.823077,West
Biberist,Biberist,47.181061,7.562609,West
Basel,Basel,47.558108,7.587826,West
Geneva,Geneva,46.201756,6.146601,West
Windisch,Windisch,47.479347,8.217992,West
Courroux,Courroux,47.359922,7.378292,West
Balm bei Lottstetten,Balm bei Lottstetten,47.627516,8.573616,West
Baar,Baar,47.195198,8.525398,West
Niederbipp,Niederbipp,47.268494,7.693334,West
Rheinau,Rheinau,47.643925,8.601757,West
