Id,Label,latitude,longitude,group,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class
Wartenberg Sellmayerhof,Wartenberg Sellmayerhof,48.382737,11.957708,Ost,15,15,3,0.529412,0.587963,0,0.043547,0.043547,0.007554,2
Sättelstädt,Sättelstädt,50.943022,10.481468,Ost,26,36,2,0.610169,0.680556,0,0.088633,0.088633,0.010836,0
Felber Tauern,Felber Tauern,47.157657,12.496512,Ost,15,22,3,0.529412,0.587963,0,0.041256,0.041256,0.007645,2
Erding-Pretzen,Erding-Pretzen,48.2792,11.912734,Ost,10,10,3,0.510638,0.553241,0,0.018207,0.018207,0.006353,2
Pfaffenhofen-Trappeleacker,Pfaffenhofen-Trappeleacker,47.277648,11.075017,Ost,15,15,2,0.55814,0.604167,0,0.055056,0.055056,0.00706,0
Otzing,Otzing,48.761681,12.809619,Ost,10,10,3,0.510638,0.553241,0,0.018207,0.018207,0.006353,2
Haunersdorf,Haunersdorf,48.607053,12.718682,Ost,33,56,2,0.648649,0.729167,12.433442,0.099063,0.099063,0.013722,0
Langenisarhofen,Langenisarhofen,48.737628,12.962948,Ost,35,48,2,0.66055,0.743056,19.248744,0.103027,0.103027,0.014511,0
Egglfing,Egglfing,48.32667,13.314929,Ost,63,547,2,0.888889,0.9375,157.473968,0.172117,0.172116,0.025071,2
Natternberg,Natternberg,48.822623,12.913328,Ost,15,15,3,0.529412,0.587963,0,0.041256,0.041256,0.007645,2
Plattling,Plattling,48.776685,12.873366,Ost,20,25,3,0.549618,0.622685,6.388716,0.047498,0.047498,0.010085,2
Třísov,Třísov,48.88266,14.346529,Ost,59,129,2,0.847059,0.909722,78.017465,0.170392,0.170392,0.022915,0
Wartenberg Amerhof,Wartenberg Amerhof,48.404078,11.987629,Ost,15,15,3,0.529412,0.587963,0,0.043547,0.043547,0.007554,2
Teisendorf,Teisendorf,47.849038,12.821836,Ost,61,622,2,0.86747,0.923611,94.312557,0.173177,0.173177,0.023706,2
Neuses an der Regnitz,Neuses an der Regnitz,49.772542,11.030035,Ost,52,532,2,0.782609,0.861111,59.576181,0.155573,0.155573,0.020419,2
Kremsmünster,Kremsmünster,48.053365,14.128766,Ost,37,37,2,0.672897,0.756944,0,0.135793,0.135793,0.014202,0
Kürnbergerwald,Kürnbergerwald,48.302024,14.21834,Ost,15,15,3,0.529412,0.587963,0,0.041256,0.041256,0.007645,2
Mainburg,Mainburg,48.64105,11.78643,Ost,47,103,2,0.742268,0.826389,11.764084,0.157784,0.157784,0.017771,0
Gilsenöd,Gilsenöd,48.751821,12.991048,Ost,47,73,2,0.742268,0.826389,11.764084,0.157784,0.157784,0.017771,0
Dorfen Niederham,Dorfen Niederham,48.274277,12.136902,Ost,47,63,2,0.742268,0.826389,11.764084,0.157784,0.157784,0.017771,0
Salzburg,Salzburg,47.798135,13.046481,Ost,47,228,2,0.742268,0.826389,11.764084,0.157784,0.157784,0.017771,1
Manching,Manching,48.717136,11.494068,Ost,65,775,2,0.911392,0.951389,182.587096,0.174902,0.174902,0.025863,2
Loham,Loham,48.84229,12.79934,Ost,15,15,3,0.529412,0.587963,0,0.043547,0.043547,0.007554,2
Pankofen,Pankofen,48.79205,12.896233,Ost,26,36,2,0.610169,0.680556,0,0.088633,0.088633,0.010836,0
Tabertshausen,Tabertshausen,48.73315,12.880492,Ost,10,10,3,0.510638,0.553241,0,0.018207,0.018207,0.006353,2
Cífer-Pác,Cífer-Pác,48.304114,17.519763,Ost,26,36,2,0.610169,0.680556,0,0.088633,0.088633,0.010836,0
Linz Freinberg,Linz Freinberg,48.303526,14.264106,Ost,37,37,2,0.672897,0.756944,0,0.135793,0.135793,0.014202,0
Berglern Glaslern,Berglern Glaslern,48.375428,11.931994,Ost,15,15,3,0.529412,0.587963,0,0.041256,0.041256,0.007645,2
Liefering,Liefering,47.826057,13.009254,Ost,37,37,2,0.672897,0.756944,0,0.135793,0.135793,0.014202,0
Salzburg Stadt,Salzburg Stadt,47.828709,13.025384,Ost,49,78,2,0.757895,0.840278,17.22132,0.160569,0.160569,0.018562,0
Aholming,Aholming,48.735073,12.911918,Ost,59,116,2,0.847059,0.909722,78.017465,0.170392,0.170392,0.022915,0
Linz-Neubau,Linz-Neubau,48.219336,14.192767,Ost,20,36,3,0.549618,0.622685,6.388716,0.047498,0.047498,0.010085,2
Langenpreising Zustorf,Langenpreising Zustorf,48.415444,11.938913,Ost,26,26,2,0.610169,0.680556,0,0.088633,0.088633,0.010836,0
Ruckasing,Ruckasing,48.712555,13.033152,Ost,10,10,3,0.510638,0.553241,0,0.018207,0.018207,0.006353,2
Fischböckau,Fischböckau,47.998446,13.941047,Ost,15,15,3,0.529412,0.587963,0,0.041256,0.041256,0.007645,2
Bruck an der Großglocknerstraße,Bruck an der Großglocknerstraße,47.286695,12.824131,Ost,37,60,2,0.672897,0.756944,0,0.135793,0.135793,0.014202,0
Ostenhofen,Ostenhofen,48.701963,13.020143,Ost,15,15,3,0.529412,0.587963,0,0.041256,0.041256,0.007645,2
Georgenberg,Georgenberg,49.703079,12.420661,Ost,37,37,2,0.672897,0.756944,0,0.135793,0.135793,0.014202,0
Berching-Pollanten,Berching-Pollanten,49.144764,11.458646,Ost,28,65,3,0.585366,0.678241,24.102964,0.059245,0.059245,0.013393,2
Telfs Schlossbichl,Telfs Schlossbichl,47.307065,11.068169,Ost,26,26,2,0.610169,0.680556,0,0.088633,0.088633,0.010836,0
Oberpöring,Oberpöring,48.702369,12.824768,Ost,55,221,2,0.808989,0.881944,50.525822,0.167315,0.167315,0.021109,2
Stradonice Oppidum,Stradonice Oppidum,49.992573,14.006197,Ost,59,395,2,0.847059,0.909722,78.017465,0.170392,0.170392,0.022915,2
Kleßheim,Kleßheim,47.823249,12.991535,Ost,37,37,2,0.672897,0.756944,0,0.135793,0.135793,0.014202,0
Alttiefenweg,Alttiefenweg,48.725797,12.864973,Ost,33,36,2,0.648649,0.729167,30.075246,0.09401,0.09401,0.014253,0
Titelberg,Titelberg,49.53871,5.859465,Ost,26,26,2,0.610169,0.680556,0,0.088633,0.088633,0.010836,0
Karlstein,Karlstein,47.722312,12.850755,Ost,49,118,2,0.757895,0.840278,17.22132,0.160569,0.160569,0.018562,0
Moos,Moos,48.752054,12.962472,Ost,37,51,2,0.672897,0.756944,39.691731,0.100788,0.100787,0.015875,0
Thundorf,Thundorf,48.758047,13.016182,Ost,45,106,2,0.727273,0.8125,30.873292,0.145497,0.145497,0.017558,0
Balsthal,Balsthal,47.314037,7.694776,West,56,150,2,0.818182,0.888889,81.140569,0.166208,0.166208,0.021757,0
