Id,Label,latitude,longitude,group,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class
Sättelstädt,Sättelstädt,50.943022,10.481468,Ost,26,36,2,0.680556,0.765306,0,0.091807,0.091806,0.014812,0
Pfaffenhofen-Trappeleacker,Pfaffenhofen-Trappeleacker,47.277648,11.075017,Ost,15,15,2,0.590361,0.653061,0,0.057669,0.057669,0.009723,0
Haunersdorf,Haunersdorf,48.607053,12.718682,Ost,26,41,2,0.680556,0.765306,0,0.091807,0.091806,0.014812,0
Langenisarhofen,Langenisarhofen,48.737628,12.962948,Ost,26,26,2,0.680556,0.765306,0,0.091807,0.091806,0.014812,0
Egglfing,Egglfing,48.32667,13.314929,Ost,47,388,2,0.960784,0.979592,12.352941,0.165587,0.165587,0.024185,1
Třísov,Třísov,48.88266,14.346529,Ost,47,86,2,0.960784,0.979592,12.352941,0.165587,0.165587,0.024185,0
Teisendorf,Teisendorf,47.849038,12.821836,Ost,49,581,1,1,1,18.003735,0.168404,0.168404,0.025286,1
Neuses an der Regnitz,Neuses an der Regnitz,49.772542,11.030035,Ost,37,378,2,0.803279,0.877551,0,0.143161,0.143161,0.019327,1
Kremsmünster,Kremsmünster,48.053365,14.128766,Ost,37,37,2,0.803279,0.877551,0,0.143161,0.143161,0.019327,0
Mainburg,Mainburg,48.64105,11.78643,Ost,47,103,2,0.960784,0.979592,12.352941,0.165587,0.165587,0.024185,0
Gilsenöd,Gilsenöd,48.751821,12.991048,Ost,47,73,2,0.960784,0.979592,12.352941,0.165587,0.165587,0.024185,0
Dorfen Niederham,Dorfen Niederham,48.274277,12.136902,Ost,47,63,2,0.960784,0.979592,12.352941,0.165587,0.165587,0.024185,0
Salzburg,Salzburg,47.798135,13.046481,Ost,47,228,2,0.960784,0.979592,12.352941,0.165587,0.165587,0.024185,1
Manching,Manching,48.717136,11.494068,Ost,49,606,1,1,1,18.003735,0.168404,0.168404,0.025286,1
Pankofen,Pankofen,48.79205,12.896233,Ost,26,36,2,0.680556,0.765306,0,0.091807,0.091806,0.014812,0
Cífer-Pác,Cífer-Pác,48.304114,17.519763,Ost,26,36,2,0.680556,0.765306,0,0.091807,0.091806,0.014812,0
Linz Freinberg,Linz Freinberg,48.303526,14.264106,Ost,37,37,2,0.803279,0.877551,0,0.143161,0.143161,0.019327,0
Liefering,Liefering,47.826057,13.009254,Ost,37,37,2,0.803279,0.877551,0,0.143161,0.143161,0.019327,0
Salzburg Stadt,Salzburg Stadt,47.828709,13.025384,Ost,49,78,1,1,1,18.003735,0.168404,0.168404,0.025286,0
Aholming,Aholming,48.735073,12.911918,Ost,47,86,2,0.960784,0.979592,12.352941,0.165587,0.165587,0.024185,0
Langenpreising Zustorf,Langenpreising Zustorf,48.415444,11.938913,Ost,26,26,2,0.680556,0.765306,0,0.091807,0.091806,0.014812,0
Bruck an der Großglocknerstraße,Bruck an der Großglocknerstraße,47.286695,12.824131,Ost,37,60,2,0.803279,0.877551,0,0.143161,0.143161,0.019327,0
Georgenberg,Georgenberg,49.703079,12.420661,Ost,37,37,2,0.803279,0.877551,0,0.143161,0.143161,0.019327,0
Telfs Schlossbichl,Telfs Schlossbichl,47.307065,11.068169,Ost,26,26,2,0.680556,0.765306,0,0.091807,0.091806,0.014812,0
