Id,Label,latitude,longitude,group,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,stat_inf_class
Wartenberg Sellmayerhof,Wartenberg Sellmayerhof,48.382737,11.957708,Ost,15,15,2,0.592593,0.65625,0,0.087177,0.087177,0.013562,0,9
Sättelstädt,Sättelstädt,50.943022,10.481468,Ost,22,32,2,0.648649,0.729167,0,0.135608,0.135609,0.017919,0,8
Felber Tauern,Felber Tauern,47.157657,12.496512,Ost,15,22,2,0.592593,0.65625,0,0.081285,0.081285,0.013704,0,10
Erding-Pretzen,Erding-Pretzen,48.2792,11.912734,Ost,10,10,2,0.55814,0.604167,0,0.042116,0.042115,0.010821,0,4
Pfaffenhofen-Trappeleacker,Pfaffenhofen-Trappeleacker,47.277648,11.075017,Ost,6,6,2,0.533333,0.5625,0,0.039077,0.039077,0.00711,1,21
Otzing,Otzing,48.761681,12.809619,Ost,10,10,2,0.55814,0.604167,0,0.042116,0.042115,0.010821,0,4
Haunersdorf,Haunersdorf,48.607053,12.718682,Ost,29,52,2,0.716418,0.802083,8.214928,0.161371,0.161371,0.023171,0,2
Langenisarhofen,Langenisarhofen,48.737628,12.962948,Ost,31,44,2,0.738462,0.822917,13.881053,0.167591,0.167591,0.024684,0,12
Egglfing,Egglfing,48.32667,13.314929,Ost,47,410,2,0.979592,0.989583,82.834158,0.218947,0.218947,0.037107,1,1
Natternberg,Natternberg,48.822623,12.913328,Ost,15,15,2,0.592593,0.65625,0,0.081285,0.081285,0.013704,0,10
Plattling,Plattling,48.776685,12.873366,Ost,20,25,2,0.631579,0.708333,6.39787,0.097995,0.097995,0.017953,0,4
Třísov,Třísov,48.88266,14.346529,Ost,43,99,2,0.90566,0.947917,40.605587,0.213262,0.213262,0.033431,0,7
Wartenberg Amerhof,Wartenberg Amerhof,48.404078,11.987629,Ost,15,15,2,0.592593,0.65625,0,0.087177,0.087177,0.013562,0,9
Teisendorf,Teisendorf,47.849038,12.821836,Ost,44,433,2,0.923077,0.958333,50.272254,0.214581,0.214581,0.034433,1,0
Neuses an der Regnitz,Neuses an der Regnitz,49.772542,11.030035,Ost,36,386,2,0.8,0.875,26.025175,0.180675,0.180675,0.028565,1,5
Kremsmünster,Kremsmünster,48.053365,14.128766,Ost,21,21,2,0.64,0.71875,0,0.127816,0.127816,0.017267,0,11
Kürnbergerwald,Kürnbergerwald,48.302024,14.21834,Ost,15,15,2,0.592593,0.65625,0,0.081285,0.081285,0.013704,0,10
Mainburg,Mainburg,48.64105,11.78643,Ost,31,66,2,0.738462,0.822917,6.283767,0.17714,0.17714,0.024202,0,13
Gilsenöd,Gilsenöd,48.751821,12.991048,Ost,31,53,2,0.738462,0.822917,6.283767,0.17714,0.17714,0.024202,0,15
