Id,Label,latitude,longitude,group,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,Authority,Hub,modularity_class,stat_inf_class
Balsthal,Balsthal,47.314037,7.694776,West,23,84,1,1,1,8.792893,0.054647,0.254683,0.254682,0,10
Eppenberg-Wöschnau,Eppenberg-Wöschnau,47.383092,8.02446,West,15,15,2,0.741935,0.826087,0,0.03706,0.188266,0.188266,0,0
Bad Zurzach,Bad Zurzach,47.589838,8.285842,West,15,15,2,0.741935,0.826087,0,0.03706,0.188266,0.188266,0,4
Baden,Baden,47.473683,8.308682,West,12,12,2,0.676471,0.76087,0,0.031202,0.145404,0.145403,0,3
Vallon,Vallon,46.882477,6.951657,West,12,12,2,0.676471,0.76087,0,0.031202,0.145404,0.145403,0,2
Bern,Bern,46.948474,7.452175,West,20,55,2,0.884615,0.934783,4.463131,0.047987,0.231542,0.231542,0,6
Diessenhofen,Diessenhofen,47.687532,8.749267,West,15,15,2,0.741935,0.826087,0,0.03706,0.188266,0.188266,0,11
Avenches,Avenches,46.879575,7.040941,West,23,94,1,1,1,8.792893,0.054647,0.254683,0.254682,0,1
Kirchberg,Kirchberg,47.085173,7.581513,West,15,15,2,0.741935,0.826087,0,0.03706,0.188266,0.188266,0,12
Altenburg-Rheinau,Altenburg-Rheinau,47.663644,8.596879,West,23,200,1,1,1,8.792893,0.054647,0.254683,0.254682,1,0
Biel,Biel,47.140208,7.243903,West,11,11,2,0.657143,0.73913,0,0.028921,0.139512,0.139512,0,5
Mont Beuvray,Mont Beuvray,46.924459,4.039623,West,14,20,2,0.71875,0.804348,0.875,0.035387,0.168147,0.168147,0,9
Kyburg,Kyburg,47.457086,8.744344,West,12,12,2,0.676471,0.76087,0,0.031202,0.145404,0.145403,0,8
Brugg,Brugg,47.482463,8.208566,West,15,15,2,0.741935,0.826087,0,0.03706,0.188266,0.188266,0,7
Roggwil,Roggwil,47.241147,7.823077,West,23,193,1,1,1,8.792893,0.054647,0.254683,0.254682,1,3
Biberist,Biberist,47.181061,7.562609,West,16,23,2,0.766667,0.847826,1.896465,0.039861,0.184299,0.184298,0,2
Basel,Basel,47.558108,7.587826,West,15,24,2,0.741935,0.826087,0,0.03706,0.188266,0.188266,0,4
Geneva,Geneva,46.201756,6.146601,West,23,38,1,1,1,8.792893,0.054647,0.254683,0.254682,0,5
Windisch,Windisch,47.479347,8.217992,West,21,89,2,0.92,0.956522,5.870671,0.050159,0.239881,0.23988,0,7
Courroux,Courroux,47.359922,7.378292,West,16,32,2,0.766667,0.847826,1.896465,0.039861,0.184299,0.184298,0,8
Balm bei Lottstetten,Balm bei Lottstetten,47.627516,8.573616,West,11,11,2,0.657143,0.73913,0,0.028921,0.139512,0.139512,0,6
Baar,Baar,47.195198,8.525398,West,19,47,2,0.851852,0.913043,3.483333,0.045825,0.222622,0.222622,0,11
Niederbipp,Niederbipp,47.268494,7.693334,West,16,32,2,0.766667,0.847826,0.757576,0.039227,0.197186,0.197186,0,9
Rheinau,Rheinau,47.643925,8.601757,West,23,150,1,1,1,8.792893,0.054647,0.254683,0.254682,1,12
